,title,runtime,primary_name,studio,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,month,roi,genre
19,Foodfight!,91.0,Lawrence Kasanoff,,4.705,2.1,46.0,"Dec 31, 2012",45000000.0,73706.0,12.0,-0.9983620888888889,Family Animation Comedy Action
32,Mortal Kombat,,Simon McQuoid,,,,,"Aug 18, 1995",20000000.0,122133227.0,8.0,5.10666135,Fantasy Adventure Action
39,The Overnight,88.0,Jed I. Goodman,,6.5760000000000005,6.0,200.0,"Jun 19, 2015",200000.0,1165996.0,6.0,4.82998,Mystery Comedy
49,On the Road,124.0,Walter Salles,IFC,8.919,5.6,518.0,"Mar 22, 2013",25000000.0,9313302.0,3.0,-0.62746792,Romance Drama Adventure
61,The Secret Life of Walter Mitty,114.0,Ben Stiller,Fox,10.743,7.1,4859.0,"Dec 25, 2013",91000000.0,187861183.0,12.0,1.0644086043956045,Fantasy Comedy Drama Adventure
65,A Walk Among the Tombstones,114.0,Scott Frank,Uni.,19.373,6.3,1685.0,"Sep 19, 2014",28000000.0,62108587.0,9.0,1.2181638214285715,Action Drama Crime Mystery Thriller
67,Jurassic World,124.0,Colin Trevorrow,Uni.,20.709,6.6,14056.0,"Jun 12, 2015",215000000.0,1648854864.0,6.0,6.669092390697674,Thriller Adventure Sci-Fi Action
72,The Rum Diary,119.0,Bruce Robinson,FD,12.011,5.7,652.0,"Oct 28, 2011",45000000.0,21544732.0,10.0,-0.5212281777777777,Drama Comedy
82,John Carter,132.0,Andrew Stanton,BV,18.549,6.1,3338.0,"Mar 9, 2012",275000000.0,282778100.0,3.0,0.028284,Adventure Sci-Fi Action
84,Action Jackson,144.0,Prabhu Deva,,6.744,5.2,81.0,"Feb 12, 1988",7000000.0,20257000.0,2.0,1.893857142857143,Action Drama Comedy Crime Thriller Adventure
103,Dinner for Schmucks,114.0,Jay Roach,P/DW,6.632000000000001,5.6,920.0,"Jul 30, 2010",69000000.0,86796502.0,7.0,0.2579203188405797,Comedy
105,The A-Team,117.0,Joe Carnahan,Fox,17.097,6.3,2703.0,"Jun 11, 2010",110000000.0,177241171.0,6.0,0.6112833727272727,Action Comedy Crime Thriller Adventure
107,The Possession,92.0,Ole Bornedal,LGF,8.978,5.9,918.0,"Aug 31, 2012",14000000.0,82925064.0,8.0,4.9232188571428575,Mystery Horror Thriller
109,Real Steel,127.0,Shawn Levy,BV,14.811,6.8,4566.0,"Oct 7, 2011",110000000.0,263880341.0,10.0,1.398912190909091,Drama Family Sci-Fi Action
113,The Giver,97.0,Phillip Noyce,Wein.,8.687000000000001,6.5,3075.0,"Aug 15, 2014",25000000.0,66540205.0,8.0,1.6616082,Romance Drama Sci-Fi
114,Toy Story 3,103.0,Lee Unkrich,BV,24.445,7.7,8340.0,"Jun 18, 2010",200000000.0,1068879522.0,6.0,4.34439761,Family Animation Adventure Comedy
116,Alita: Battle Angel,122.0,Robert Rodriguez,,,,,"Feb 14, 2019",170000000.0,402976036.0,2.0,1.3704472705882353,Adventure Sci-Fi Action
122,Lincoln,150.0,Steven Spielberg,BV,12.693,6.8,2261.0,"Nov 9, 2012",65000000.0,273346281.0,11.0,3.2053274,Biography Drama History
125,Before We Go,95.0,Chris Evans,RTWC,8.232999999999999,6.5,985.0,"Sep 4, 2015",3000000.0,483938.0,9.0,-0.8386873333333333,Romance Drama Comedy
127,The History of Love,134.0,Radu Mihaileanu,,,,,"Nov 18, 2016",20000000.0,476624.0,11.0,-0.9761688,Romance War Drama
138,Shazam!,132.0,David F. Sandberg,,,,,"Apr 5, 2019",85000000.0,362899733.0,4.0,3.269408623529412,Comedy Adventure Action
139,Puss in Boots,90.0,Chris Miller,P/DW,9.078,6.3,1422.0,"Oct 28, 2011",130000000.0,554987477.0,10.0,3.2691344384615384,Animation Action Comedy Adventure Fantasy Family
153,Wonder Woman,141.0,Patty Jenkins,WB,2.841,5.9,34.0,"Jun 2, 2017",150000000.0,821133378.0,6.0,4.47422252,Fantasy Adventure Action
158,42,128.0,Brian Helgeland,,11.28,7.0,1028.0,"Apr 12, 2013",31000000.0,97470701.0,4.0,2.1442161612903226,Sport Biography Drama
160,Life of Pi,127.0,Ang Lee,Fox,15.0,7.3,8723.0,"Nov 21, 2012",120000000.0,620912003.0,11.0,4.174266691666666,Fantasy Drama Adventure Action
162,The Crazies,101.0,Breck Eisner,Over.,12.245999999999999,6.2,1036.0,"Feb 26, 2010",19000000.0,56445534.0,2.0,1.9708175789473685,Mystery Horror Thriller Action
163,The Equalizer,132.0,Antoine Fuqua,Sony,28.941999999999997,7.2,4989.0,"Sep 26, 2014",55000000.0,192903624.0,9.0,2.507338618181818,Crime Thriller Action
165,Captain America: The First Avenger,124.0,Joe Johnston,Par.,25.808000000000003,6.9,12810.0,"Jul 22, 2011",140000000.0,370569776.0,7.0,1.6469269714285715,Adventure Sci-Fi Action
182,Piranha 3D,88.0,Alexandre Aja,W/Dim.,11.302,5.3,1029.0,"Aug 20, 2010",24000000.0,83660160.0,8.0,2.48584,Horror Comedy
188,Margaret,150.0,Kenneth Lonergan,FoxS,8.747,6.3,138.0,"Sep 30, 2011",14000000.0,623292.0,9.0,-0.9554791428571429,Drama
193,Ex Machina,108.0,Alex Garland,A24,18.485,7.6,8026.0,"Apr 10, 2015",13000000.0,38358392.0,4.0,1.9506455384615384,Mystery Drama Sci-Fi
195,Tower Heist,104.0,Brett Ratner,Uni.,12.213,6.0,1592.0,"Nov 4, 2011",85000000.0,150422946.0,11.0,0.7696817176470588,Crime Comedy Action
196,The Smurfs,103.0,Raja Gosnell,Sony,16.533,5.6,2112.0,"Jul 29, 2011",110000000.0,563749323.0,7.0,4.124993845454545,Animation Comedy Adventure Fantasy Family
197,The Mechanic,93.0,Simon West,CBS,14.387,6.3,1676.0,"Jan 28, 2011",42500000.0,76347393.0,1.0,0.7964092470588235,Crime Thriller Action
208,Unstoppable,98.0,Tony Scott,Fox,14.01,6.4,1913.0,"Nov 12, 2010",95000000.0,165720921.0,11.0,0.7444307473684211,Thriller Action
221,The Tree of Life,139.0,Terrence Malick,FoxS,11.569,6.6,1730.0,"May 27, 2011",35000000.0,61721826.0,5.0,0.7634807428571428,Fantasy Drama
224,Ant-Man,117.0,Peyton Reed,BV,32.715,7.1,11949.0,"Jul 17, 2015",130000000.0,518858449.0,7.0,2.9912188384615384,Comedy Adventure Sci-Fi Action
228,Season of the Witch,95.0,Dominic Sena,Rela.,12.535,5.3,1352.0,"Jan 7, 2011",40000000.0,91126600.0,1.0,1.278165,Fantasy Adventure Action
230,The Losers,97.0,Sylvain White,WB,10.202,6.2,844.0,"Apr 23, 2010",25000000.0,29863840.0,4.0,0.1945536,Action Crime Mystery Thriller Adventure
243,Red Tails,125.0,Anthony Hemingway,Fox,10.247,6.0,256.0,"Jan 20, 2012",58000000.0,50365498.0,1.0,-0.1316293448275862,Action Drama History War Adventure
281,Silence,161.0,Martin Scorsese,,10.617,7.1,1560.0,"Dec 23, 2016",46500000.0,23726626.0,12.0,-0.48974997849462365,History Drama Adventure
304,Something Borrowed,112.0,Luke Greenfield,WB,7.567,6.1,591.0,"May 6, 2011",35000000.0,65084116.0,5.0,0.8595461714285715,Romance Drama Comedy
307,Tulip Fever,105.0,Justin Chadwick,Wein.,9.89,6.4,307.0,"Sep 1, 2017",25000000.0,6792768.0,9.0,-0.72828928,Romance Drama History
308,Furry Vengeance,92.0,Roger Kumble,Sum.,9.45,4.6,283.0,"Apr 30, 2010",35000000.0,39340177.0,4.0,0.12400505714285714,Family Comedy
317,Ramona and Beezus,103.0,Elizabeth Allen Rosenbaum,Fox,7.442,6.3,460.0,"Jul 23, 2010",15000000.0,27469621.0,7.0,0.8313080666666667,Family Comedy Adventure
327,Rings,102.0,F. Javier Gutiérrez,Par.,13.53,4.9,1785.0,"Feb 3, 2017",25000000.0,82917283.0,2.0,2.31669132,Mystery Horror Drama
334,A Thousand Words,91.0,Brian Robbins,P/DW,8.017000000000001,6.1,685.0,"Mar 9, 2012",40000000.0,20790486.0,3.0,-0.48023785,Drama Comedy
342,What's Your Number?,106.0,Mark Mylod,Fox,10.390999999999998,6.4,1271.0,"Sep 30, 2011",20000000.0,30163785.0,9.0,0.50818925,Romance Comedy
